"","symbol","message_count","bytes","seconds_spent"
"312","GAL-USD",4,1635,120
"313","ONDO-USD",53,22063,120
"314","NEAR-USDT",2,810,120
"315","DOGE-GBP",6,2502,120
"316","CVC-USD",15,6165,120
"317","DESO-USD",6,2418,120
"318","ATOM-USD",70,29000,120
"319","ATOM-USDT",3,1219,120
"320","QNT-USD",7,2877,120
"321","XCN-USD",2,858,120
"322","ORN-USD",19,7708,120
"323","JASMY-USD",5,2148,120
"324","LTC-GBP",1,413,120
"325","HOPR-USD",1,416,120
"326","DNT-USD",1,421,120
"327","CHZ-USDT",3,1258,120
"328","CHZ-USD",1,419,120
"329","YFI-USD",1,419,120
"330","ADA-BTC",2,881,120
"331","MANA-USD",1,419,120
"332","TRB-USD",1,414,120
"333","GRT-BTC",5,2220,120
"334","MASK-USD",2,811,120
"335","APE-USDT",1,406,120
"336","GHST-USD",4,1627,120
"337","STORJ-USD",3,1258,120
"338","FET-USDT",7,2888,120
"339","VET-USD",13,5449,120
"340","BTC-USD",203,88711,120
"341","ORN-USD",42,17069,120
"342","BIT-USD",17,6962,120
"343","MINA-USDT",1,412,120
"344","SNX-BTC",1,430,120
"345","GODS-USD",23,9719,120
"346","BONK-USD",10,4588,120
"347","FIL-GBP",1,401,120
"348","MKR-USD",79,33530,120
"349","ABT-USD",5,2050,120
"350","RPL-USD",1,401,120
"351","COTI-USD",11,4627,120
"352","FORT-USD",54,22555,120
"353","ARB-USD",21,8729,120
"354","DESO-USD",8,3223,120
"355","SUPER-USD",79,33574,120
"356","XRP-USD",50,21723,120
"357","ICP-BTC",5,2168,120
"358","ICP-USD",141,59059,120
"359","GAL-USD",12,4914,120
"360","ONDO-USD",7,2921,120
"361","CVC-USD",17,6988,120
"362","FLR-USD",8,3351,120
"363","LCX-USD",104,42941,120
"364","TVK-USD",21,8734,120
"365","VARA-USD",9,3755,120
"366","ADA-USD",61,25635,120
"367","GRT-BTC",4,1774,120
"368","USDT-EUR",36,15294,120
"369","ZRX-USD",5,2180,120
"370","QNT-USD",10,4105,120
"371","SPA-USD",28,11837,120
"372","TRB-USD",8,3292,120
"373","DIA-USD",8,3352,120
"374","ZEN-USD",6,2449,120
"375","OCEAN-USD",21,8722,120
"376","CBETH-USD",23,9680,120
"377","JTO-USD",7,2878,120
"378","NEAR-USDT",4,1644,120
"379","NEAR-USD",45,18536,120
"380","PYUSD-USD",1,419,120
"381","ATOM-USD",37,15303,120
"382","XLM-USDT",1,416,120
"383","ROSE-USDT",7,2887,120
"384","JASMY-USD",20,8591,120
"385","ATOM-GBP",1,401,120
"386","LRC-USDT",1,414,120
"387","LTC-GBP",2,824,120
"388","APT-USDT",11,4414,120
"389","MANA-USD",2,842,120
"390","APE-USDT",4,1634,120
"391","BLUR-USD",4,1665,120
"392","MNDE-USD",3,1257,120
"393","AVAX-USDT",1,410,120
"394","STORJ-USD",6,2518,120
"395","YFI-USD",4,1676,120
"396","RAD-USD",1,405,120
"397","TVK-USD",14,5805,120
"398","ARB-USD",31,12888,120
"399","OCEAN-USD",34,14093,120
"400","BTC-USD",481,210199,120
"401","BIT-USD",19,7764,120
"402","RAD-USD",3,1213,120
"403","CVC-USD",16,6581,120
"404","ICP-USD",97,40626,120
"405","USDT-EUR",16,6812,120
"406","XRP-USD",37,16062,120
"407","ADA-USD",72,30290,120
"408","NMR-USD",2,826,120
"409","SHPING-USD",2,848,120
"410","AAVE-EUR",1,406,120
"411","SHIB-USDT",1,456,120
"412","PERP-USD",49,20445,120
"413","MEDIA-USD",2,810,120
"414","CRO-USD",3,1256,120
"415","MATH-USD",1,412,120
"416","RBN-USD",7,2911,120
"417","COVAL-USD",1,419,120
"418","ATOM-USD",63,26052,120
"419","BLUR-USD",35,14607,120
"420","SUPER-USD",103,43799,120
"421","ADA-GBP",1,416,120
"422","UNI-EUR",1,399,120
"423","AERGO-USD",1,411,120
"424","FLOW-USD",1,413,120
"425","ANKR-EUR",2,840,120
